,ctb_contrb,pid_contrb,var
180,0.000761480044779,1,they
181,0.000749400808178,1,where
182,-0.000740655658312,1,Immoral
183,-0.000733605309555,1,response
184,0.000729443499535,1,MD
185,-0.000725171780742,1,figure
186,0.000721851042727,1,who
187,-0.00070938908015,1,at
188,0.000705793748023,1,taking
189,-0.000697840946648,1,s
190,0.000696916915739,1,is
191,0.000674683672826,1,groups
192,-0.000671845865416,1,doesn
193,0.000664345571522,1,e
194,0.000645111830303,1,for
195,0.00063966708455,1,appropriate
196,0.000622863925971,1,when
197,-0.000594581585401,1,posting
198,0.000588276434305,1,but
199,0.000584894250596,1,anger
200,-0.000571124044492,1,have
201,0.000566205885212,1,several
202,-0.000559940869682,1,Tansin
203,0.000534869811005,1,From
204,0.000512736731159,1,non
205,-0.000499743756347,1,out
206,0.000499202403082,1,Also
207,-0.000495280481004,1,decided
208,0.000488993959608,1,m
209,0.000487018286688,1,based
210,-0.000480990633094,1,Anonymous
211,-0.000459488774226,1,interesting
212,-0.000451071959405,1,should
213,0.000445248195861,1,as
214,-0.000436823399802,1,Abortion
215,0.000422960244242,1,intended
216,-0.000400844081032,1,has
217,0.000398128071793,1,usenet
218,-0.000390925801397,1,Bitnet
219,0.000378194737901,1,realized
220,0.00037249047279,1,readers
221,0.000342526040262,1,begin
222,0.000341031440015,1,expose
223,0.000339720607978,1,As
224,-0.000328346894415,1,about
225,0.000326692199498,1,wish
226,-0.000324039206281,1,standard
227,0.000316684852362,1,43
228,0.000316414402027,1,no
229,0.000312376739205,1,access
230,-0.000310964058509,1,zillion
231,-0.000306330607658,1,lifestyle
232,-0.000298191209237,1,some
233,0.000294618671378,1,lot
234,-0.000285231587325,1,what
235,0.000285173307893,1,collaterally
236,-0.000282277215154,1,networks
237,0.00026977791446,1,discussion
238,-0.000260172120447,1,rational
239,0.000243400484942,1,me
240,0.000232535450483,1,audience
241,-0.000231412666614,1,Monday
242,0.000223993967755,1,I
243,0.000218878569123,1,morally
244,-0.000216491697752,1,list
245,0.000206485736578,1,identify
246,0.000200557596197,1,service
247,-0.000193007869234,1,reachable
248,0.000190052756379,1,available
249,-0.000189940641247,1,Silver
250,-0.000176949125457,1,use
251,-0.000166130395747,1,digest
252,0.000163011801622,1,ll
253,-0.000162840634071,1,statement
254,-0.000156812019781,1,sure
255,0.000149388528543,1,Homosexuality
256,0.000139691996949,1,attached
257,0.000134878955248,1,valid
258,-0.000133993051295,1,However
259,-0.000128124157904,1,would
260,0.000119939001132,1,forum
261,-0.000118886061096,1,since
262,0.00011343540213,1,larger
263,-0.000109906229204,1,crossposted
